Pos Gegens.;Pos. Kante;Gegens.- & Bildgrose;;;Pos. Kante;G , B nach Drehung des Linsensystems;;
in cm;;in cm;in cm;in cm;;;;
P_G;P_K;G;B;dB;P_K';G';B';dB'
0.0;9.2;1.0;6.1;0.3;16.2;1.0;5.6;0.3
0.0;9.3;1.0;5.4;0.1;16.6;1.0;4.5;0.1
0.0;9.6;1.0;4.7;0.1;15.8;1.0;7;0.3
0.0;9.9;1.0;4.1;0.1;17.3;1.0;3.7;0.1
0.0;10.7;1.0;3.3;0.1;17.7;1.0;3.1;0.1
0.0;10.3;1.0;3.7;0.1;18.2;1.0;2.8;0.1
0.0;11.1;1.0;2.8;0.1;19;1.0;2.3;0.1
0.0;12.5;1.0;2.2;0.1;20.3;1.0;1.9;0.1
0.0;15.8;1.0;1.4;0.1;22;1.0;1.4;0.1
0.0;20.7;1.0;0.9;0.1;16;1.0;6.1;0.3
