Distance_(unit),Gray_Value
0.0000,0.967
0.0016,1.000
0.0031,1.000
0.0047,1.000
0.0063,1.000
0.0079,1.000
0.0094,1.000
0.0110,1.000
0.0126,1.100
0.0142,1.000
0.0157,0.967
0.0173,0.600
0.0189,0.700
0.0205,1.100
0.0220,1.200
0.0236,1.200
0.0252,1.000
0.0268,1.000
0.0283,1.000
0.0299,1.000
0.0315,1.000
0.0331,1.000
0.0346,1.000
0.0362,1.000
0.0378,1.000
0.0394,1.000
0.0409,0.933
0.0425,0.933
0.0441,0.867
0.0457,0.867
0.0472,0.867
0.0488,0.833
0.0504,1.000
0.0520,1.200
0.0535,1.200
0.0551,1.000
0.0567,1.000
0.0583,1.000
0.0598,1.000
0.0614,1.000
0.0630,1.000
0.0646,1.000
0.0661,1.000
0.0677,1.000
0.0693,1.000
0.0709,1.700
0.0724,2.467
0.0740,1.867
0.0756,2.067
0.0772,2.067
0.0787,1.533
0.0803,1.533
0.0819,1.100
0.0835,1.000
0.0850,1.000
0.0866,1.000
0.0882,0.933
0.0898,0.933
0.0913,1.000
0.0929,1.000
0.0945,1.000
0.0961,1.000
0.0976,1.000
0.0992,1.000
0.1008,1.067
0.1024,1.067
0.1039,1.067
0.1055,1.367
0.1071,1.367
0.1087,1.267
0.1102,1.133
0.1118,1.133
0.1134,1.133
0.1150,1.133
0.1165,1.167
0.1181,1.167
0.1197,1.167
0.1213,1.167
0.1228,1.167
0.1244,1.167
0.1260,0.933
0.1275,0.933
0.1291,1.000
0.1307,1.000
0.1323,1.000
0.1338,1.000
0.1354,1.000
0.1370,1.000
0.1386,1.000
0.1401,1.000
0.1417,1.000
0.1433,1.000
0.1449,1.100
0.1464,1.000
0.1480,1.133
0.1496,1.100
0.1512,1.000
0.1527,1.000
0.1543,1.000
0.1559,1.000
0.1575,1.000
0.1590,1.000
0.1606,1.000
0.1622,1.000
0.1638,1.000
0.1653,1.000
0.1669,0.867
0.1685,0.867
0.1701,0.867
0.1716,0.867
0.1732,1.000
0.1748,1.000
0.1764,1.067
0.1779,0.767
0.1795,0.533
0.1811,0.600
0.1827,0.767
0.1842,0.767
0.1858,0.767
0.1874,0.767
0.1890,0.700
0.1905,0.633
0.1921,0.933
0.1937,1.433
0.1953,1.900
0.1968,1.833
0.1984,2.033
0.2000,2.000
0.2016,2.067
0.2031,2.367
0.2047,2.533
0.2063,2.433
0.2079,2.567
0.2094,2.367
0.2110,2.400
0.2126,2.133
0.2142,2.200
0.2157,2.400
0.2173,2.333
0.2189,2.200
0.2205,1.800
0.2220,1.700
0.2236,1.500
0.2252,1.400
0.2268,1.867
0.2283,1.567
0.2299,1.467
0.2315,1.567
0.2331,1.400
0.2346,1.700
0.2362,1.367
0.2378,1.067
0.2394,1.367
0.2409,1.167
0.2425,2.100
0.2441,2.800
0.2456,2.933
0.2472,2.067
0.2488,1.300
0.2504,1.100
0.2519,1.167
0.2535,1.000
0.2551,1.000
0.2567,1.300
0.2582,1.633
0.2598,1.200
0.2614,1.033
0.2630,1.233
0.2645,1.633
0.2661,1.533
0.2677,1.067
0.2693,1.033
0.2708,1.033
0.2724,1.033
0.2740,1.033
0.2756,1.033
0.2771,1.000
0.2787,0.933
0.2803,1.000
0.2819,0.900
0.2834,0.900
0.2850,0.900
0.2866,0.967
0.2882,0.933
0.2897,0.967
0.2913,0.967
0.2929,1.000
0.2945,0.900
0.2960,0.900
0.2976,1.433
0.2992,1.767
0.3008,1.900
0.3023,2.333
0.3039,1.900
0.3055,1.000
0.3071,1.100
0.3086,1.467
0.3102,1.567
0.3118,1.633
0.3134,1.233
0.3149,1.000
0.3165,1.100
0.3181,1.233
0.3197,1.233
0.3212,1.267
0.3228,1.300
0.3244,1.400
0.3260,1.400
0.3275,1.500
0.3291,1.567
0.3307,1.600
0.3323,1.633
0.3338,1.467
0.3354,1.133
0.3370,0.967
0.3386,0.800
0.3401,0.933
0.3417,0.933
0.3433,1.000
0.3449,1.000
0.3464,1.100
0.3480,1.133
0.3496,1.033
0.3512,1.267
0.3527,0.767
0.3543,0.767
0.3559,0.967
0.3575,1.100
0.3590,1.100
0.3606,1.000
0.3622,1.367
0.3638,1.367
0.3653,1.600
0.3669,1.267
0.3685,0.900
0.3700,1.133
0.3716,1.633
0.3732,1.933
0.3748,2.200
0.3763,2.200
0.3779,2.200
0.3795,1.267
0.3811,0.800
0.3826,1.267
0.3842,1.667
0.3858,1.967
0.3874,2.167
0.3889,2.567
0.3905,2.367
0.3921,0.733
0.3937,0.500
0.3952,1.100
0.3968,2.233
0.3984,3.300
0.4000,3.200
0.4015,2.333
0.4031,1.500
0.4047,1.300
0.4063,1.000
0.4078,1.100
0.4094,1.433
0.4110,1.500
0.4126,1.600
0.4141,1.500
0.4157,1.000
0.4173,1.000
0.4189,0.900
0.4204,0.900
0.4220,0.900
0.4236,0.867
0.4252,0.867
0.4267,0.867
0.4283,1.133
0.4299,1.133
0.4315,1.067
0.4330,1.067
0.4346,1.000
0.4362,1.000
0.4378,0.967
0.4393,0.967
0.4409,0.967
0.4425,1.300
0.4441,1.700
0.4456,1.800
0.4472,1.900
0.4488,1.933
0.4504,1.467
0.4519,1.333
0.4535,0.833
0.4551,0.900
0.4567,1.300
0.4582,1.433
0.4598,1.467
0.4614,1.400
0.4630,1.400
0.4645,1.633
0.4661,1.833
0.4677,1.100
0.4693,0.867
0.4708,1.467
0.4724,1.700
0.4740,1.333
0.4756,0.967
0.4771,0.933
0.4787,1.433
0.4803,1.533
0.4819,1.333
0.4834,1.267
0.4850,1.800
0.4866,2.600
0.4882,2.500
0.4897,1.633
0.4913,1.033
0.4929,1.333
0.4944,1.367
0.4960,1.833
0.4976,1.467
0.4992,1.433
0.5007,1.200
0.5023,1.300
0.5039,1.800
0.5055,1.467
0.5070,1.433
0.5086,1.533
0.5102,1.600
0.5118,1.633
0.5133,1.633
0.5149,1.500
0.5165,1.700
0.5181,2.400
0.5196,2.600
0.5212,1.867
0.5228,1.033
0.5244,1.600
0.5259,2.133
0.5275,2.167
0.5291,1.667
0.5307,1.767
0.5322,1.400
0.5338,0.733
0.5354,0.867
0.5370,1.333
0.5385,1.567
0.5401,1.533
0.5417,1.233
0.5433,1.267
0.5448,1.300
0.5464,1.433
0.5480,1.433
0.5496,1.133
0.5511,1.433
0.5527,1.467
0.5543,1.533
0.5559,1.467
0.5574,1.367
0.5590,1.233
0.5606,1.200
0.5622,1.033
0.5637,1.067
0.5653,1.267
0.5669,1.367
0.5685,1.500
0.5700,1.533
0.5716,1.533
0.5732,1.533
0.5748,1.833
0.5763,2.033
0.5779,2.067
0.5795,1.833
0.5811,1.933
0.5826,1.867
0.5842,1.733
0.5858,1.433
0.5874,1.533
0.5889,1.633
0.5905,1.500
0.5921,1.167
0.5937,1.167
0.5952,1.333
0.5968,1.600
0.5984,1.700
0.6000,1.467
0.6015,1.467
0.6031,1.667
0.6047,1.100
0.6063,0.933
0.6078,0.833
0.6094,0.967
0.6110,1.033
0.6126,1.100
0.6141,1.300
0.6157,1.233
0.6173,0.867
0.6188,0.867
0.6204,0.900
0.6220,1.067
0.6236,1.333
0.6251,1.600
0.6267,1.667
0.6283,1.600
0.6299,1.500
0.6314,1.533
0.6330,1.833
0.6346,1.767
0.6362,2.000
0.6377,2.133
0.6393,2.067
0.6409,1.633
0.6425,1.467
0.6440,1.633
0.6456,2.000
0.6472,2.300
0.6488,2.533
0.6503,2.533
0.6519,2.233
0.6535,2.333
0.6551,2.700
0.6566,2.500
0.6582,2.533
0.6598,2.833
0.6614,3.567
0.6629,3.700
0.6645,3.433
0.6661,3.233
0.6677,4.000
0.6692,4.500
0.6708,5.100
0.6724,5.200
0.6740,4.333
0.6755,5.133
0.6771,6.467
0.6787,6.733
0.6803,7.467
0.6818,8.600
0.6834,9.900
0.6850,9.733
0.6866,8.767
0.6881,8.033
0.6897,7.333
0.6913,6.633
0.6929,6.700
0.6944,5.967
0.6960,5.067
0.6976,5.367
0.6992,5.700
0.7007,5.500
0.7023,4.900
0.7039,4.333
0.7055,4.800
0.7070,4.800
0.7086,5.500
0.7102,5.400
0.7118,5.233
0.7133,5.900
0.7149,6.267
0.7165,6.267
0.7181,5.833
0.7196,5.800
0.7212,5.333
0.7228,5.067
0.7244,4.400
0.7259,4.533
0.7275,4.700
0.7291,5.500
0.7307,6.100
0.7322,5.367
0.7338,5.233
0.7354,6.533
0.7369,7.667
0.7385,7.867
0.7401,7.633
0.7417,7.133
0.7432,7.233
0.7448,6.367
0.7464,5.533
0.7480,4.967
0.7495,4.767
0.7511,5.933
0.7527,6.367
0.7543,5.433
0.7558,4.533
0.7574,4.667
0.7590,5.133
0.7606,5.033
0.7621,4.667
0.7637,4.500
0.7653,4.433
0.7669,4.600
0.7684,5.033
0.7700,4.733
0.7716,4.533
0.7732,4.233
0.7747,3.900
0.7763,4.067
0.7779,4.367
0.7795,4.833
0.7810,5.367
0.7826,4.967
0.7842,4.633
0.7858,3.900
0.7873,3.467
0.7889,4.367
0.7905,5.500
0.7921,5.400
0.7936,4.900
0.7952,4.133
0.7968,3.500
0.7984,3.967
0.7999,4.100
0.8015,4.867
0.8031,5.533
0.8047,5.333
0.8062,5.233
0.8078,5.367
0.8094,5.433
0.8110,6.200
0.8125,6.600
0.8141,6.467
0.8157,5.933
0.8173,5.600
0.8188,5.600
0.8204,4.733
0.8220,4.433
0.8236,5.467
0.8251,5.933
0.8267,5.233
0.8283,4.833
0.8299,4.867
0.8314,5.100
0.8330,5.667
0.8346,6.100
0.8362,6.500
0.8377,6.467
0.8393,6.233
0.8409,6.167
0.8425,6.300
0.8440,7.100
0.8456,7.300
0.8472,7.167
0.8488,6.667
0.8503,7.067
0.8519,8.367
0.8535,9.533
0.8551,9.900
0.8566,9.133
0.8582,7.733
0.8598,6.500
0.8613,6.267
0.8629,6.667
0.8645,7.200
0.8661,7.733
0.8676,8.400
0.8692,8.767
0.8708,8.700
0.8724,9.033
0.8739,9.633
0.8755,10.467
0.8771,10.867
0.8787,11.500
0.8802,11.800
0.8818,11.300
0.8834,10.533
0.8850,9.433
0.8865,8.367
0.8881,7.733
0.8897,6.700
0.8913,5.767
0.8928,5.633
