Distance_(unit),Gray_Value
0.0000,1.400
0.0016,1.400
0.0031,1.433
0.0047,1.567
0.0062,1.867
0.0078,1.900
0.0094,1.867
0.0109,1.967
0.0125,1.633
0.0141,1.567
0.0156,1.267
0.0172,1.300
0.0187,1.000
0.0203,1.300
0.0219,1.167
0.0234,1.067
0.0250,1.333
0.0266,1.400
0.0281,1.400
0.0297,1.667
0.0312,1.867
0.0328,1.867
0.0344,1.467
0.0359,1.333
0.0375,1.167
0.0391,0.900
0.0406,0.800
0.0422,0.800
0.0437,0.900
0.0453,0.800
0.0469,0.867
0.0484,1.067
0.0500,1.533
0.0516,1.400
0.0531,1.333
0.0547,1.267
0.0562,1.433
0.0578,1.600
0.0594,1.633
0.0609,1.633
0.0625,1.600
0.0641,1.267
0.0656,1.067
0.0672,1.233
0.0687,1.433
0.0703,1.500
0.0719,1.533
0.0734,1.533
0.0750,1.333
0.0766,1.133
0.0781,0.867
0.0797,0.800
0.0812,0.800
0.0828,1.000
0.0844,0.967
0.0859,0.933
0.0875,0.667
0.0891,0.667
0.0906,0.733
0.0922,0.600
0.0937,0.500
0.0953,0.567
0.0969,0.800
0.0984,0.900
0.1000,0.833
0.1016,1.133
0.1031,1.433
0.1047,1.433
0.1062,1.267
0.1078,1.333
0.1094,1.500
0.1109,1.500
0.1125,1.500
0.1141,1.333
0.1156,1.200
0.1172,1.367
0.1187,1.367
0.1203,1.433
0.1219,1.100
0.1234,1.033
0.1250,1.067
0.1266,1.033
0.1281,1.033
0.1297,1.167
0.1312,0.967
0.1328,0.733
0.1344,0.800
0.1359,0.900
0.1375,1.233
0.1391,1.300
0.1406,1.400
0.1422,1.000
0.1437,1.167
0.1453,1.400
0.1469,1.367
0.1484,1.367
0.1500,1.033
0.1516,1.000
0.1531,1.133
0.1547,1.333
0.1562,1.367
0.1578,1.333
0.1594,1.133
0.1609,1.000
0.1625,0.967
0.1641,0.933
0.1656,1.167
0.1672,1.200
0.1687,1.400
0.1703,1.333
0.1719,1.667
0.1734,1.600
0.1750,1.533
0.1766,1.667
0.1781,1.400
0.1797,1.500
0.1812,1.067
0.1828,1.033
0.1844,0.700
0.1859,0.733
0.1875,0.533
0.1891,0.500
0.1906,0.567
0.1922,0.633
0.1937,0.967
0.1953,1.033
0.1969,1.467
0.1984,1.733
0.2000,1.900
0.2016,1.733
0.2031,1.233
0.2047,1.433
0.2062,1.000
0.2078,0.733
0.2094,0.633
0.2109,0.600
0.2125,0.700
0.2140,0.600
0.2156,0.533
0.2172,0.600
0.2187,1.000
0.2203,1.300
0.2219,1.267
0.2234,1.167
0.2250,1.333
0.2265,1.467
0.2281,1.467
0.2297,1.500
0.2312,1.600
0.2328,1.867
0.2344,1.700
0.2359,1.700
0.2375,1.267
0.2390,1.333
0.2406,1.467
0.2422,1.267
0.2437,1.267
0.2453,1.600
0.2469,1.733
0.2484,1.567
0.2500,0.900
0.2515,0.833
0.2531,0.867
0.2547,0.867
0.2562,0.900
0.2578,0.900
0.2594,0.967
0.2609,0.867
0.2625,0.733
0.2640,0.633
0.2656,0.933
0.2672,0.933
0.2687,1.033
0.2703,0.967
0.2719,1.033
0.2734,0.967
0.2750,0.800
0.2765,0.800
0.2781,0.800
0.2797,0.733
0.2812,0.767
0.2828,0.800
0.2844,1.233
0.2859,1.467
0.2875,1.600
0.2890,1.633
0.2906,1.500
0.2922,1.500
0.2937,1.267
0.2953,1.200
0.2969,1.100
0.2984,0.933
0.3000,0.733
0.3015,0.800
0.3031,0.800
0.3047,0.833
0.3062,1.000
0.3078,1.400
0.3094,1.967
0.3109,1.833
0.3125,1.433
0.3140,1.467
0.3156,1.233
0.3172,1.033
0.3187,0.700
0.3203,0.700
0.3219,0.833
0.3234,1.333
0.3250,1.300
0.3265,1.400
0.3281,1.200
0.3297,1.000
0.3312,0.800
0.3328,1.000
0.3344,1.200
0.3359,1.100
0.3375,0.900
0.3390,0.700
0.3406,1.000
0.3422,1.200
0.3437,1.100
0.3453,1.167
0.3469,1.000
0.3484,0.800
0.3500,0.933
0.3515,0.867
0.3531,0.967
0.3547,0.767
0.3562,0.533
0.3578,0.767
0.3594,1.133
0.3609,0.633
0.3625,0.700
0.3640,0.700
0.3656,0.867
0.3672,1.067
0.3687,1.567
0.3703,1.933
0.3719,1.967
0.3734,1.900
0.3750,1.700
0.3765,1.700
0.3781,1.400
0.3797,1.400
0.3812,1.300
0.3828,1.600
0.3844,1.500
0.3859,1.500
0.3875,1.700
0.3890,1.700
0.3906,1.667
0.3922,1.567
0.3937,1.500
0.3953,1.600
0.3969,1.900
0.3984,1.833
0.4000,1.633
0.4015,1.267
0.4031,1.233
0.4047,1.267
0.4062,1.600
0.4078,1.600
0.4094,1.233
0.4109,0.967
0.4125,1.100
0.4140,1.367
0.4156,1.967
0.4172,1.667
0.4187,1.267
0.4203,0.933
0.4218,1.667
0.4234,1.567
0.4250,1.800
0.4265,1.633
0.4281,1.200
0.4297,0.900
0.4312,1.000
0.4328,1.267
0.4343,1.100
0.4359,0.933
0.4375,1.000
0.4390,0.767
0.4406,0.867
0.4422,1.200
0.4437,1.600
0.4453,1.433
0.4468,1.400
0.4484,1.200
0.4500,1.333
0.4515,1.267
0.4531,1.067
0.4547,0.833
0.4562,0.733
0.4578,0.800
0.4593,0.800
0.4609,0.700
0.4625,0.733
0.4640,0.733
0.4656,0.867
0.4672,1.000
0.4687,1.200
0.4703,1.200
0.4718,1.267
0.4734,1.200
0.4750,1.200
0.4765,1.067
0.4781,1.067
0.4797,0.867
0.4812,0.800
0.4828,0.733
0.4843,1.033
0.4859,1.133
0.4875,1.333
0.4890,1.300
0.4906,1.333
0.4922,1.000
0.4937,0.967
0.4953,0.900
0.4968,0.967
0.4984,0.900
0.5000,1.267
0.5015,1.167
0.5031,1.233
0.5047,1.267
0.5062,0.967
0.5078,1.000
0.5093,0.733
0.5109,0.700
0.5125,0.767
0.5140,0.867
0.5156,1.167
0.5172,0.867
0.5187,0.867
0.5203,0.900
0.5218,1.200
0.5234,1.400
0.5250,1.033
0.5265,1.333
0.5281,1.500
0.5297,1.333
0.5312,1.267
0.5328,1.300
0.5343,1.100
0.5359,0.933
0.5375,0.933
0.5390,1.300
0.5406,1.367
0.5422,1.400
0.5437,1.200
0.5453,1.100
0.5468,1.100
0.5484,1.067
0.5500,0.867
0.5515,0.867
0.5531,0.833
0.5547,0.867
0.5562,0.867
0.5578,0.733
0.5593,0.833
0.5609,1.067
0.5625,0.933
0.5640,0.933
0.5656,0.867
0.5672,0.967
0.5687,1.167
0.5703,1.400
0.5718,1.133
0.5734,1.033
0.5750,1.067
0.5765,0.800
0.5781,0.900
0.5797,1.367
0.5812,1.400
0.5828,1.533
0.5843,1.633
0.5859,1.233
0.5875,0.933
0.5890,0.933
0.5906,1.000
0.5922,0.967
0.5937,0.733
0.5953,0.733
0.5968,0.733
0.5984,0.767
0.6000,1.133
0.6015,1.300
0.6031,1.267
0.6047,1.333
0.6062,1.233
0.6078,1.300
0.6093,1.100
0.6109,1.100
0.6125,0.933
0.6140,0.867
0.6156,1.167
0.6172,1.233
0.6187,1.467
0.6203,1.433
0.6218,1.333
0.6234,1.233
0.6250,1.433
0.6265,1.467
0.6281,1.533
0.6296,1.700
0.6312,1.767
0.6328,1.533
0.6343,1.300
0.6359,1.133
0.6375,0.933
