Distance_(unit),Gray_Value
0.00000,2.233
0.00174,2.100
0.00348,2.300
0.00522,2.533
0.00697,2.200
0.00871,1.900
0.01045,1.700
0.01219,1.800
0.01393,2.300
0.01567,2.500
0.01741,2.167
0.01916,1.967
0.02090,1.767
0.02264,1.867
0.02438,1.733
0.02612,1.500
0.02786,1.267
0.02961,0.967
0.03135,1.067
0.03309,1.733
0.03483,1.767
0.03657,1.500
0.03831,1.467
0.04005,1.633
0.04180,2.200
0.04354,2.067
0.04528,2.300
0.04702,1.967
0.04876,2.367
0.05050,2.267
0.05224,2.233
0.05399,2.467
0.05573,2.367
0.05747,1.900
0.05921,1.600
0.06095,1.900
0.06269,2.167
0.06444,2.067
0.06618,1.867
0.06792,2.367
0.06966,2.567
0.07140,2.467
0.07314,2.133
0.07488,2.033
0.07663,2.000
0.07837,1.800
0.08011,1.700
0.08185,1.800
0.08359,2.333
0.08533,2.433
0.08707,2.300
0.08882,2.300
0.09056,2.000
0.09230,2.000
0.09404,2.000
0.09578,2.300
0.09752,2.100
0.09927,2.100
0.10101,1.800
0.10275,2.000
0.10449,2.400
0.10623,2.500
0.10797,2.700
0.10971,2.533
0.11146,1.833
0.11320,2.033
0.11494,2.433
0.11668,2.533
0.11842,2.767
0.12016,2.667
0.12190,2.767
0.12365,3.067
0.12539,3.167
0.12713,3.367
0.12887,3.233
0.13061,3.133
0.13235,2.767
0.13409,2.667
0.13584,2.500
0.13758,2.100
0.13932,2.367
0.14106,2.500
0.14280,2.300
0.14454,2.000
0.14629,1.700
0.14803,2.200
0.14977,2.100
0.15151,1.900
0.15325,2.167
0.15499,2.267
0.15673,2.667
0.15848,2.500
0.16022,2.067
0.16196,1.500
0.16370,1.933
0.16544,1.833
0.16718,1.867
0.16892,2.167
0.17067,2.167
0.17241,2.367
0.17415,2.267
0.17589,1.933
0.17763,1.800
0.17937,2.200
0.18112,2.167
0.18286,1.900
0.18460,2.300
0.18634,2.433
0.18808,2.500
0.18982,2.167
0.19156,2.500
0.19331,2.433
0.19505,2.433
0.19679,2.233
0.19853,2.533
0.20027,2.600
0.20201,2.967
0.20375,3.167
0.20550,2.900
0.20724,2.800
0.20898,2.767
0.21072,2.400
0.21246,2.300
0.21420,2.433
0.21595,2.433
0.21769,2.333
0.21943,2.033
0.22117,2.033
0.22291,1.733
0.22465,1.733
0.22639,1.767
0.22814,1.667
0.22988,1.633
0.23162,1.533
0.23336,1.733
0.23510,2.133
0.23684,2.533
0.23858,2.233
0.24033,1.833
0.24207,1.933
0.24381,2.433
0.24555,2.433
0.24729,2.133
0.24903,1.833
0.25077,2.233
0.25252,2.233
0.25426,2.500
0.25600,2.633
0.25774,2.333
0.25948,2.600
0.26122,2.367
0.26297,2.167
0.26471,2.000
0.26645,2.267
0.26819,2.167
0.26993,2.233
0.27167,1.933
0.27341,2.000
0.27516,1.800
0.27690,1.567
0.27864,2.433
0.28038,1.833
0.28212,1.433
0.28386,1.700
0.28560,1.833
0.28735,1.333
0.28909,1.233
0.29083,1.333
0.29257,1.500
0.29431,1.500
0.29605,1.567
0.29780,1.400
0.29954,1.533
0.30128,1.633
0.30302,1.733
0.30476,1.933
0.30650,1.867
0.30824,1.833
0.30999,2.400
0.31173,2.600
0.31347,2.200
0.31521,1.600
0.31695,1.733
0.31869,2.067
0.32043,2.867
0.32218,2.967
0.32392,2.767
0.32566,2.767
0.32740,2.667
0.32914,2.667
0.33088,2.767
0.33263,2.667
0.33437,2.100
0.33611,1.700
0.33785,1.900
0.33959,2.000
0.34133,2.033
0.34307,2.033
0.34482,2.300
0.34656,2.500
0.34830,2.600
0.35004,2.700
0.35178,2.200
0.35352,2.200
0.35526,1.933
0.35701,1.833
0.35875,1.533
0.36049,1.467
0.36223,1.267
0.36397,1.167
0.36571,1.567
0.36745,1.667
0.36920,1.500
0.37094,1.333
0.37268,1.267
0.37442,0.900
0.37616,1.200
0.37790,1.600
0.37965,2.100
0.38139,2.100
0.38313,1.833
0.38487,2.333
0.38661,2.967
0.38835,3.167
0.39009,2.600
0.39184,2.667
0.39358,2.600
0.39532,2.900
0.39706,2.767
0.39880,2.567
0.40054,2.333
0.40228,2.433
0.40403,2.133
0.40577,2.433
0.40751,2.133
0.40925,1.533
0.41099,1.200
0.41273,1.333
0.41448,1.567
0.41622,1.367
0.41796,1.467
0.41970,1.400
0.42144,1.733
0.42318,1.967
0.42492,2.600
0.42667,2.867
0.42841,3.133
0.43015,2.867
0.43189,2.600
0.43363,2.500
0.43537,2.367
0.43711,2.567
0.43886,2.467
0.44060,2.100
0.44234,1.933
0.44408,2.300
0.44582,2.533
0.44756,2.433
0.44931,2.700
0.45105,3.000
0.45279,2.467
0.45453,2.100
0.45627,1.933
0.45801,2.067
0.45975,1.767
0.46150,1.533
0.46324,1.433
0.46498,1.500
0.46672,2.000
0.46846,2.200
0.47020,2.433
0.47194,2.133
0.47369,2.167
0.47543,2.167
0.47717,2.167
0.47891,2.167
0.48065,1.800
0.48239,1.500
0.48414,1.400
0.48588,1.400
0.48762,1.933
0.48936,2.200
0.49110,2.200
0.49284,2.300
0.49458,2.133
0.49633,2.133
0.49807,2.400
0.49981,2.233
0.50155,1.867
0.50329,1.800
0.50503,2.300
0.50677,2.300
0.50852,2.067
0.51026,2.167
0.51200,2.133
0.51374,2.133
0.51548,2.300
0.51722,2.633
0.51896,2.733
0.52071,2.367
0.52245,2.167
0.52419,2.500
0.52593,2.600
0.52767,2.500
0.52941,1.800
0.53116,1.800
0.53290,1.700
0.53464,1.800
0.53638,1.900
0.53812,1.900
0.53986,2.000
0.54160,2.100
0.54335,1.833
0.54509,1.833
0.54683,1.700
0.54857,1.700
0.55031,1.600
0.55205,1.600
0.55379,1.800
0.55554,2.000
0.55728,2.267
0.55902,2.133
0.56076,1.900
0.56250,1.600
0.56424,1.733
0.56599,1.633
0.56773,1.800
0.56947,2.400
0.57121,2.700
0.57295,2.200
0.57469,1.733
0.57643,1.633
0.57818,1.900
0.57992,2.000
0.58166,1.800
0.58340,1.600
0.58514,1.800
0.58688,1.800
0.58862,2.100
0.59037,2.000
0.59211,1.833
0.59385,2.133
0.59559,1.933
0.59733,1.500
0.59907,1.433
0.60081,1.067
0.60256,1.367
0.60430,1.933
0.60604,2.200
0.60778,1.733
0.60952,1.400
0.61126,1.500
0.61301,1.333
0.61475,1.400
0.61649,1.800
0.61823,1.800
0.61997,1.700
0.62171,1.600
0.62345,1.800
0.62520,2.100
0.62694,2.700
0.62868,2.300
0.63042,2.300
0.63216,1.767
0.63390,1.900
0.63564,2.067
0.63739,2.400
0.63913,2.300
0.64087,2.333
0.64261,2.433
0.64435,2.767
0.64609,2.767
0.64784,3.067
0.64958,2.967
0.65132,3.133
0.65306,2.833
0.65480,2.800
0.65654,2.300
0.65828,2.467
0.66003,2.967
0.66177,2.400
0.66351,2.267
0.66525,2.767
0.66699,2.133
0.66873,2.633
0.67047,2.900
0.67222,2.800
0.67396,2.500
0.67570,2.267
0.67744,2.267
0.67918,2.433
0.68092,2.833
0.68267,2.767
0.68441,2.667
0.68615,2.633
0.68789,2.533
0.68963,2.333
0.69137,2.133
0.69311,2.233
0.69486,2.133
0.69660,2.567
0.69834,2.600
0.70008,2.667
0.70182,2.700
0.70356,2.667
0.70530,2.867
0.70705,2.933
0.70879,3.033
0.71053,3.467
0.71227,3.067
0.71401,2.767
0.71575,2.767
0.71750,2.900
0.71924,2.600
0.72098,2.900
0.72272,2.800
0.72446,2.967
0.72620,2.900
0.72794,2.833
0.72969,3.033
0.73143,3.133
0.73317,2.700
0.73491,2.433
0.73665,2.600
0.73839,3.367
0.74013,2.867
0.74188,2.800
0.74362,2.700
0.74536,2.800
0.74710,2.200
0.74884,2.133
0.75058,2.067
0.75232,2.800
0.75407,2.400
0.75581,2.100
0.75755,1.900
0.75929,1.733
0.76103,1.733
0.76277,2.067
0.76452,1.933
0.76626,1.867
0.76800,1.733
0.76974,1.633
0.77148,1.633
0.77322,2.067
0.77496,2.067
0.77671,2.400
0.77845,2.700
0.78019,2.867
0.78193,3.067
0.78367,2.833
0.78541,2.933
0.78715,2.500
0.78890,2.400
0.79064,2.800
0.79238,3.000
0.79412,3.700
0.79586,3.400
0.79760,2.800
0.79935,2.600
0.80109,2.533
0.80283,2.233
0.80457,2.367
0.80631,2.767
0.80805,2.700
0.80979,2.567
0.81154,2.167
0.81328,2.200
0.81502,2.133
0.81676,1.967
0.81850,1.733
0.82024,1.867
0.82198,1.900
0.82373,1.900
0.82547,1.800
0.82721,1.600
0.82895,1.533
0.83069,1.467
0.83243,1.933
0.83418,2.000
0.83592,2.900
0.83766,3.100
0.83940,2.733
0.84114,2.333
0.84288,1.667
0.84462,1.767
0.84637,1.900
0.84811,2.067
0.84985,2.067
0.85159,2.067
0.85333,2.033
0.85507,1.933
0.85681,1.800
0.85856,1.800
0.86030,2.267
0.86204,2.467
0.86378,1.667
0.86552,1.533
0.86726,1.867
0.86900,1.933
0.87075,1.567
0.87249,1.133
0.87423,0.900
0.87597,0.633
0.87771,1.233
0.87945,1.367
0.88120,1.233
0.88294,1.033
0.88468,1.300
0.88642,1.233
0.88816,1.800
0.88990,1.767
0.89164,2.300
0.89339,2.433
0.89513,2.433
0.89687,2.933
0.89861,2.633
0.90035,2.633
0.90209,2.267
0.90383,2.133
0.90558,1.933
0.90732,1.733
0.90906,1.367
0.91080,1.267
0.91254,1.367
0.91428,1.600
0.91603,2.033
0.91777,2.033
0.91951,1.800
0.92125,1.833
0.92299,1.967
0.92473,1.867
0.92647,1.967
0.92822,2.200
0.92996,2.167
0.93170,1.833
0.93344,1.800
0.93518,1.933
0.93692,2.233
0.93866,2.267
0.94041,2.100
0.94215,2.133
0.94389,2.467
0.94563,2.667
0.94737,2.533
0.94911,2.300
0.95086,2.433
0.95260,2.233
0.95434,2.033
0.95608,2.733
0.95782,3.800
0.95956,3.933
0.96130,4.000
0.96305,3.467
0.96479,2.900
0.96653,3.000
0.96827,3.133
0.97001,3.300
0.97175,3.233
0.97349,3.167
0.97524,3.033
0.97698,2.533
0.97872,2.633
0.98046,3.000
0.98220,3.433
0.98394,3.733
0.98568,3.433
0.98743,3.700
0.98917,4.767
0.99091,5.067
0.99265,5.067
0.99439,4.000
0.99613,3.667
0.99788,4.000
0.99962,3.967
1.00136,3.833
1.00310,3.467
1.00484,3.767
1.00658,4.300
1.00832,4.500
1.01007,4.167
1.01181,3.767
1.01355,3.167
1.01529,3.067
1.01703,3.433
1.01877,3.733
1.02051,3.933
1.02226,4.033
1.02400,3.933
1.02574,4.233
1.02748,4.167
1.02922,4.467
1.03096,3.567
1.03271,3.267
1.03445,3.333
1.03619,3.733
1.03793,4.033
1.03967,3.833
1.04141,3.400
1.04315,3.100
1.04490,2.767
1.04664,2.967
1.04838,3.267
1.05012,3.367
1.05186,3.267
1.05360,3.267
1.05534,3.167
1.05709,3.267
1.05883,3.533
1.06057,3.233
1.06231,3.333
1.06405,3.533
1.06579,3.433
1.06754,3.333
1.06928,3.300
1.07102,3.600
1.07276,3.800
1.07450,3.900
1.07624,3.700
1.07798,3.800
1.07973,3.633
1.08147,3.633
1.08321,3.600
1.08495,3.333
1.08669,4.267
1.08843,4.067
1.09017,3.700
1.09192,3.700
1.09366,4.000
1.09540,4.200
1.09714,3.567
1.09888,3.267
1.10062,3.100
1.10236,3.100
1.10411,2.967
1.10585,3.467
1.10759,4.267
1.10933,4.967
1.11107,4.833
1.11281,4.833
1.11456,4.733
1.11630,4.767
1.11804,4.933
1.11978,5.133
1.12152,4.733
1.12326,4.933
1.12500,4.433
1.12675,4.433
1.12849,3.700
1.13023,3.533
1.13197,2.733
1.13371,2.267
1.13545,1.933
1.13719,1.633
1.13894,2.367
1.14068,2.567
1.14242,2.733
1.14416,2.500
1.14590,2.233
1.14764,2.033
1.14939,2.000
1.15113,2.233
1.15287,2.200
1.15461,2.267
1.15635,2.067
1.15809,1.933
1.15983,1.967
1.16158,1.900
1.16332,1.633
1.16506,1.667
1.16680,2.067
1.16854,2.000
1.17028,2.833
1.17202,2.900
1.17377,3.300
1.17551,3.433
1.17725,3.033
1.17899,3.100
1.18073,3.733
1.18247,3.333
1.18422,2.800
1.18596,3.033
1.18770,2.933
1.18944,3.067
1.19118,2.867
1.19292,2.567
1.19466,2.500
1.19641,2.467
1.19815,2.533
1.19989,2.633
1.20163,2.833
1.20337,3.233
1.20511,3.233
1.20685,3.033
1.20860,2.567
1.21034,2.367
1.21208,2.033
1.21382,2.067
1.21556,2.367
1.21730,2.600
1.21904,3.100
1.22079,2.867
1.22253,2.867
1.22427,2.467
1.22601,2.267
1.22775,2.433
1.22949,2.400
1.23124,2.867
1.23298,2.733
1.23472,2.733
1.23646,2.267
1.23820,2.300
1.23994,2.700
1.24168,2.667
1.24343,2.733
1.24517,2.633
1.24691,2.267
1.24865,2.267
1.25039,2.167
1.25213,2.000
1.25387,1.767
1.25562,1.833
1.25736,1.900
1.25910,1.833
1.26084,1.533
1.26258,1.700
1.26432,1.733
1.26607,1.733
1.26781,1.633
1.26955,1.633
1.27129,2.133
1.27303,2.333
1.27477,1.633
1.27651,1.433
1.27826,2.167
1.28000,1.800
1.28174,1.367
1.28348,1.600
1.28522,1.633
1.28696,1.533
1.28870,1.533
1.29045,1.533
1.29219,1.333
1.29393,1.333
1.29567,1.600
1.29741,1.367
1.29915,1.367
1.30090,1.500
1.30264,1.567
1.30438,1.600
1.30612,1.533
1.30786,1.200
1.30960,1.600
1.31134,1.533
1.31309,1.333
1.31483,1.633
1.31657,1.667
1.31831,1.500
1.32005,1.500
1.32179,1.400
1.32353,1.467
1.32528,1.567
1.32702,2.000
1.32876,2.533
1.33050,3.300
1.33224,2.633
1.33398,2.533
1.33572,2.467
1.33747,2.633
1.33921,2.800
1.34095,2.700
1.34269,2.333
1.34443,1.933
1.34617,2.000
1.34792,1.833
1.34966,1.767
1.35140,1.867
1.35314,1.867
1.35488,2.100
1.35662,2.000
1.35836,2.167
1.36011,2.100
1.36185,2.500
1.36359,2.500
1.36533,2.567
1.36707,2.833
1.36881,3.367
1.37055,3.567
1.37230,3.233
1.37404,2.633
1.37578,2.533
1.37752,2.633
1.37926,2.933
1.38100,2.733
1.38275,3.067
1.38449,3.033
1.38623,2.800
1.38797,2.800
1.38971,3.333
1.39145,2.900
1.39319,3.033
1.39494,3.133
1.39668,3.267
1.39842,3.500
1.40016,3.500
1.40190,3.233
1.40364,2.933
1.40538,3.000
1.40713,3.167
1.40887,3.467
1.41061,3.833
1.41235,3.600
1.41409,3.333
1.41583,3.567
1.41758,3.167
1.41932,2.900
1.42106,3.733
1.42280,3.667
1.42454,3.567
1.42628,3.967
1.42802,3.967
1.42977,4.167
