Raumtemperatur (Anfang):,Raumtemperatur (14:00): ,Raumtemperatur (15:00):,Raumtemperatur (16:00):,
Äußerer Luftdruck (Anfang):,Äußerer Luftdruck (14:00):,Äußerer Luftdruck (15:00):,Äußerer Luftdruck (16:00):,Luftdruck kann man mit Handy messen
,,,,
(in cm),(in cm),(in Bar),(1% vom Endbereich des Manometers; in Bar),In Spalten E und F das Ergebnis aus Python-Skript Nummer 7 eintragen!
Laenge,dL,Druck,dp,
2,0.1,2.594719163,0.04,
3,0.1,1.285186404,0.04,
4,0.1,0.854119523,0.04,
5,0.1,0.63959254,0.04,
6,0.1,0.511196614,0.04,
7,0.1,0.425732358,0.04,
8,0.1,0.364751488,0.04,
9,0.1,0.319051347,0.04,
10,0.1,0.283527815,0.04,
11,0.1,0.255122223,0.04,
